Season,Commentor,Time posted,yt-simple-endpoint href 2,Comment,style-scope 2,clean_text_sentiment,words,meaningful_words,sentiment_score
1,@therandomguy1254,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugx9evUJWAzRHOFEju54AaABAg,I am now addicted to these videos for some reason,5.9K,I am now addicted to these videos for some reason,"['i', 'am', 'now', 'addicted', 'to', 'these', 'videos', 'for', 'some', 'reason']","['addicted', 'videos', 'reason']",0.0
1,@siegfriedschmitz5260,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzCMQLdkJQSnEUAGBJ4AaABAg,"""our family's comes first"". SHOCKED investors",1.9K,"""our family's comes first"". SHOCKED investors","['our', 'family', 's', 'comes', 'first', 'shocked', 'investors']","['family', 'comes', 'shocked', 'investors']",-0.4648
1,@shrillz,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy_FQXQ3nSWcM7vCLp4AaABAg,The guy says he wants to keep his current job secure to make sure his family is taken care of. The Shark:,1.6K,The guy says he wants to keep his current job secure to make sure his family is taken care of. The Shark:,"['the', 'guy', 'says', 'he', 'wants', 'to', 'keep', 'his', 'current', 'job', 'secure', 'to', 'make', 'sure', 'his', 'family', 'is', 'taken', 'care', 'of', 'the', 'shark']","['guy', 'says', 'wants', 'keep', 'current', 'job', 'secure', 'make', 'sure', 'family', 'taken', 'care', 'shark']",0.7845
1,@reddragon6317,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugyomem20xncqjRM04x4AaABAg,There is nothing wrong in having a secure job while growing an unpredictable buisness,4.6K,There is nothing wrong in having a secure job while growing an unpredictable buisness,"['there', 'is', 'nothing', 'wrong', 'in', 'having', 'a', 'secure', 'job', 'while', 'growing', 'an', 'unpredictable', 'buisness']","['nothing', 'wrong', 'secure', 'job', 'growing', 'unpredictable', 'buisness']",0.6862
1,@SkritchB,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyA9RDRTf8OJlhP9Td4AaABAg,"""you guys did not take a big risk to potentially become homeless unless your product succeeded and for that reason im out""",2K,"""you guys did not take a big risk to potentially become homeless unless your product succeeded and for that reason im out""","['you', 'guys', 'did', 'not', 'take', 'a', 'big', 'risk', 'to', 'potentially', 'become', 'homeless', 'unless', 'your', 'product', 'succeeded', 'and', 'for', 'that', 'reason', 'im', 'out']","['guys', 'take', 'big', 'risk', 'potentially', 'become', 'homeless', 'unless', 'product', 'succeeded', 'reason', 'im']",0.1779
1,@theoavg,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxKwqM2PJcYC7V2G2h4AaABAg,“I sold my house and lived with my children at the office”. It seems like being irresponsible with your family’s wellbeing and gamble their future is what makes you a good entrepreneur.,942,“I sold my house and lived with my children at the office”. It seems like being irresponsible with your family’s wellbeing and gamble their future is what makes you a good entrepreneur.,"['i', 'sold', 'my', 'house', 'and', 'lived', 'with', 'my', 'children', 'at', 'the', 'office', 'it', 'seems', 'like', 'being', 'irresponsible', 'with', 'your', 'family', 's', 'wellbeing', 'and', 'gamble', 'their', 'future', 'is', 'what', 'makes', 'you', 'a', 'good', 'entrepreneur']","['sold', 'house', 'lived', 'children', 'office', 'seems', 'like', 'irresponsible', 'family', 'wellbeing', 'gamble', 'future', 'makes', 'good', 'entrepreneur']",0.3612
1,@IsomerMashups,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyK78_ITL7rydjvwHR4AaABAg,"Their attitudes are excellent. Came in expecting to hate them, but came out thinking they're brighter and more conscientious than most of the people on this show, including the sharks.",778,"Their attitudes are excellent. Came in expecting to hate them, but came out thinking they're brighter and more conscientious than most of the people on this show, including the sharks.","['their', 'attitudes', 'are', 'excellent', 'came', 'in', 'expecting', 'to', 'hate', 'them', 'but', 'came', 'out', 'thinking', 'they', 're', 'brighter', 'and', 'more', 'conscientious', 'than', 'most', 'of', 'the', 'people', 'on', 'this', 'show', 'including', 'the', 'sharks']","['attitudes', 'excellent', 'came', 'expecting', 'hate', 'came', 'thinking', 're', 'brighter', 'conscientious', 'people', 'show', 'including', 'sharks']",0.5267
1,@isabelle3930,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugw0IYS6jnT6NU4Tfa94AaABAg,"""You did not sacrifice your entire livelihood and the livelihoods of your families for this unpredictable business, and therefore, I am out.""",873,"""You did not sacrifice your entire livelihood and the livelihoods of your families for this unpredictable business, and therefore, I am out.""","['you', 'did', 'not', 'sacrifice', 'your', 'entire', 'livelihood', 'and', 'the', 'livelihoods', 'of', 'your', 'families', 'for', 'this', 'unpredictable', 'business', 'and', 'therefore', 'i', 'am', 'out']","['sacrifice', 'entire', 'livelihood', 'livelihoods', 'families', 'unpredictable', 'business', 'therefore']",0.4019
1,@WobblesandBean,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzlPdE-69eHI9LeLdV4AaABAg,"I find it a bit insulting that they all think it's unacceptable for these men to try and give their families a decent life while trying to start their business. ""How dare you not risk your marriage, your family, your credit, and your whole life to put every penny back into your fledgling business!""",1.9K,"I find it a bit insulting that they all think it's unacceptable for these men to try and give their families a decent life while trying to start their business. ""How dare you not risk your marriage, your family, your credit, and your whole life to put every penny back into your fledgling business!""","['i', 'find', 'it', 'a', 'bit', 'insulting', 'that', 'they', 'all', 'think', 'it', 's', 'unacceptable', 'for', 'these', 'men', 'to', 'try', 'and', 'give', 'their', 'families', 'a', 'decent', 'life', 'while', 'trying', 'to', 'start', 'their', 'business', 'how', 'dare', 'you', 'not', 'risk', 'your', 'marriage', 'your', 'family', 'your', 'credit', 'and', 'your', 'whole', 'life', 'to', 'put', 'every', 'penny', 'back', 'into', 'your', 'fledgling', 'business']","['find', 'bit', 'insulting', 'think', 'unacceptable', 'men', 'try', 'give', 'families', 'decent', 'life', 'trying', 'start', 'business', 'dare', 'risk', 'marriage', 'family', 'credit', 'whole', 'life', 'put', 'every', 'penny', 'back', 'fledgling', 'business']",-0.4728
1,@ChintanCG,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgywrWkNdqJ_uOZEvHt4AaABAg&pp=0gcJCSIANpG00pGi,No one's gonna spend $100 in India for this,1.6K,No one's gonna spend $100 in India for this,"['no', 'one', 's', 'gonna', 'spend', '100', 'in', 'india', 'for', 'this']","['gonna', 'spend', '100', 'india']",-0.296
